trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2223,False,"{'a': 0.002, 'e': 0.011748849007483096}",20,6,24.715815899365758,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2224,False,"{'a': 0.002, 'e': 0.011725374791508845}",20,16,7.427694967746328,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2225,False,"{'a': 0.002, 'e': 0.011701947477049383}",35,20,27.664942873765582,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2226,False,"{'a': 0.002, 'e': 0.011678566970395442}",30,13,34.831144311714,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2227,False,"{'a': 0.002, 'e': 0.011655233178024955}",25,20,7.413912833179223,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2228,False,"{'a': 0.002, 'e': 0.01163194600660272}",35,13,43.991054383550065,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2229,False,"{'a': 0.002, 'e': 0.011608705362980011}",25,9,26.80676364013749,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2230,False,"{'a': 0.002, 'e': 0.011585511154194242}",20,5,26.069723193310107,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2231,False,"{'a': 0.002, 'e': 0.011562363287468536}",30,20,15.756827966450142,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2232,False,"{'a': 0.002, 'e': 0.011539261670211397}",20,10,19.598655228278467,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2233,False,"{'a': 0.002, 'e': 0.011516206210016314}",25,0,36.23773649261263,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2234,False,"{'a': 0.002, 'e': 0.011493196814661438}",30,17,22.97424888973937,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2235,False,"{'a': 0.002, 'e': 0.011470233392109144}",20,13,14.322989580248493,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2236,False,"{'a': 0.002, 'e': 0.01144731585050571}",25,12,20.570197113923026,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2237,False,"{'a': 0.002, 'e': 0.011424444098180933}",25,2,36.929530227630856,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
